"gene";"ensembl_gene_id";"gene_biotype";"chromosome_name";"start";"end";"g_score";"mutsig";"avg_expr";"sirna"
"A1BG";"ENSG00000121410";"protein_coding";19;58345178;58353499;0.027891;-0.25718688;5.419211044;0.449420016
"A1CF";"ENSG00000148584";"protein_coding";10;50799409;50885675;0.009572;-0.01290795;0.559458902;-0.693753361
"A2M";"ENSG00000175899";"protein_coding";12;9067664;9116229;0.009709;-0.250798704;13.37387406;0.372178571
"A2ML1";"ENSG00000166535";"protein_coding";12;8822472;8887001;0.0111415;-0.001836385;3.841615061;1.745095731
"A3GALT2";"ENSG00000184389";"protein_coding";1;33306766;33321098;0.022153;NA;NA;NA
"A4GALT";"ENSG00000128274";"protein_coding";22;42692121;42721298;0.009896;-1.140901922;8.9572615;-0.648200714
"A4GNT";"ENSG00000118017";"protein_coding";3;138123718;138132387;0.078302;-1.341215838;-0.686905291;-0.795157513
"AAAS";"ENSG00000094914";"protein_coding";12;53307456;53324864;0.02253;0;9.712596287;-1.349315362
"AACS";"ENSG00000081760";"protein_coding";12;125065379;125143333;0.02281;0;9.9802912;0.377724111
"AADAC";"ENSG00000114771";"protein_coding";3;151814037;151828488;0.061734;-0.581761095;NA;0.614597874
"AADACL2";"ENSG00000197953";"protein_coding";3;151733916;151761339;0.061734;0;NA;1.495150339
"AADACL3";"ENSG00000188984";"protein_coding";1;12716115;12728759;0.008088;-0.485551392;NA;NA
"AADACL4";"ENSG00000204518";"protein_coding";1;12644547;12667086;0.008088;-7.270652254;-0.434895534;-1.098577751
"AADAT";"ENSG00000109576";"protein_coding";4;170060222;170091699;0.042523;-0.000366867;8.656272192;-1.194040254
"AAED1";"ENSG00000158122";"protein_coding";9;96639577;96655303;0.016067;NA;NA;0.690650988
"AAGAB";"ENSG00000103591";"protein_coding";15;67201033;67255195;0.006243;0;10.07826234;-0.079188741
"AAK1";"ENSG00000115977";"protein_coding";2;69457997;69674349;0;-0.197700489;10.66600296;0.889894303
"AAMDC";"ENSG00000087884";"protein_coding";11;77821109;77918432;0.058472;NA;NA;NA
"AAMP";"ENSG00000127837";"protein_coding";2;218264123;218270257;0.015775;-0.310298848;11.72360066;-8.456320461
"AANAT";"ENSG00000129673";"protein_coding";17;76453351;76470117;0.0411480185931028;0;-0.598810675;-0.150369702
"AAR2";"ENSG00000131043";"protein_coding";20;36236459;36270918;0.0144265;NA;NA;0.153525867
"AARD";"ENSG00000205002";"protein_coding";8;116938199;116944487;0.070086;NA;NA;1.100228698
"AARS";"ENSG00000090861";"protein_coding";16;70252295;70289543;0.0103409019942272;-0.090450666;11.7588052;-0.321608043
"AARS2";"ENSG00000124608";"protein_coding";6;44299654;44313326;0.013531;-0.064306015;9.157895945;-0.231928745
"AARSD1";"ENSG00000266967";"protein_coding";17;42950526;42964498;0.012287;-0.16784225;9.522959427;1.027344463
"AASDH";"ENSG00000157426";"protein_coding";4;56338287;56387508;0.0133395;-0.192720196;8.131752624;0.433971727
"AASDHPPT";"ENSG00000149313";"protein_coding";11;106075501;106098710;0.015915;-0.592117027;9.448506407;-0.42756746
"AASS";"ENSG00000008311";"protein_coding";7;122075647;122144280;0.0221138313615896;-1.528514362;9.091592686;1.162417963
"AATF";"ENSG00000275700";"protein_coding";17;36948875;37056871;0.0132;-1.028675303;10.03365391;-0.114719805
"AATK";"ENSG00000181409";"protein_coding";17;81117295;81166077;NA;-2.184936289;6.26330113;0.357166003
"ABAT";"ENSG00000183044";"protein_coding";16;8674565;8784575;0.016337;-0.564936392;10.85489807;-0.236998953
